,Central Bank Balance Sheet Size,GRDI,Bloomberg Commodity Index,Gold,Bitcoin,Bloomberg Dollar Index,Citi Dollar Positioning,Bitcoin - Story Count,Inflation - Story Count,VIX Index,MOVE Index,CVIX Index,US 2 Year,US 2s10s,Sector Rotation ,Citi Inflation Surprise,Citi EM Inflation Surprise,GBI Weighted CPI,Conference Board Inflation Expectations ,US BUDGET BALANCE,US CPI,bitcoin: (Worldwide),inflation: (Worldwide)
2021-02-27,,,,,46864.06,,,,,,,,,,,21.55,-2.61,4.0754,6.0,-15.28,1.4,65,65
2021-02-26,35587.9688,113.313,85.2778,1734.04,45672.06,1135.36,-14.56,4615.0,3585.0,28.73,75.66,7.52,0.127,127.209,1.0633,21.55,-2.61,4.0754,6.0,-15.28,1.4,65,65
2021-02-25,35687.5117,114.041,87.1179,1770.56,48083.51,1127.87,-16.33,5310.0,3760.0,21.73,74.16,7.0,0.172,134.198,1.0531,21.55,-2.61,4.0754,6.0,-15.28,1.4,65,65
2021-02-24,35702.6563,119.915,87.5827,1805.06,48758.53,1120.74,-17.53,5900.0,3952.0,23.76,61.92,6.85,0.123,124.867,1.0733,21.55,-2.61,4.0754,6.0,-15.28,1.4,65,65
2021-02-23,35698.207,118.636,86.6185,1805.73,47962.92,1122.74,-19.85,7362.0,4089.0,22.82,61.73,6.72,0.1108,122.667,1.0602,21.55,-2.61,4.0754,6.0,-15.28,1.4,65,65
2021-02-22,35714.125,118.579,86.6999,1809.67,54938.64,1123.74,-19.55,7333.0,3145.0,24.46,62.42,6.59,0.1109,124.868,1.06,21.55,-2.61,4.0754,6.0,-15.28,1.4,65,65
2021-02-21,,,,,57355.29,,,,,,,,,,,21.55,-2.61,4.0754,6.0,-15.28,1.4,65,65
2021-02-20,35663.3633,,,,56537.03,,,,,,,,,,,21.55,-2.61,4.0754,6.0,-15.28,1.4,65,65
2021-02-19,35648.4961,120.515,85.3002,1784.25,55629.08,1124.92,-25.42,7796.0,2733.0,23.1,60.43,6.46,0.1048,122.547,1.0644,21.55,-2.61,4.0754,6.0,-15.28,1.4,65,65
2021-02-18,35587.8242,121.172,85.2395,1775.67,52037.53,1126.68,-22.76,5772.0,3150.0,21.98,56.12,6.5,0.1049,118.668,1.0481,21.55,-2.61,4.0754,6.0,-15.28,1.4,65,65
2021-02-17,35538.1641,121.049,85.2003,1776.13,52400.42,1129.45,-27.01,7025.0,3975.0,22.02,55.97,6.64,0.1029,116.335,1.0495,21.55,-2.61,4.0754,6.0,-15.28,1.4,65,65
2021-02-16,35460.3672,121.038,85.0496,1794.47,48585.51,1126.01,-28.44,6816.0,1932.0,21.13,56.78,6.41,0.119,119.11,1.0555,21.55,-2.61,4.0754,6.0,-15.28,1.4,65,65
2021-02-15,35518.6172,123.848,,1818.86,48203.45,1122.38,,,,,,6.31,,,,21.55,-2.61,4.0754,6.0,-15.28,1.4,65,65
2021-02-14,,,,,48865.24,,,,,,,,,,,21.55,-2.61,4.0754,6.0,-15.28,1.4,65,65
2021-02-13,,,,,47177.95,,,,,,,,,,,21.55,-2.61,4.0754,6.0,-15.28,1.4,65,65
2021-02-12,35540.5156,124.112,84.0621,1824.23,47947.17,1123.75,-32.65,6181.0,2370.0,21.6,47.01,6.34,0.109,109.52,1.0466,21.55,-2.61,4.0754,6.0,-15.28,1.4,65,65
2021-02-11,35511.2383,123.697,83.4745,1825.51,46931.97,1123.16,-33.68,7061.0,2565.0,22.09,45.95,6.37,0.1091,105.21,1.0443,21.55,-2.61,4.0754,6.0,-15.28,1.4,65,65
2021-02-10,35513.1484,122.696,83.5314,1842.89,45039.51,1124.3,-37.5,6544.0,4367.0,21.64,46.27,6.31,0.1071,101.335,1.0401,21.55,-2.61,4.0754,6.0,-15.28,1.4,65,65
2021-02-09,35471.9883,122.659,83.7736,1838.32,47335.77,1124.87,-36.78,8379.0,2202.0,21.57,46.75,6.31,0.1151,103.773,1.0432,21.55,-2.61,4.0754,6.0,-15.28,1.4,65,65
2021-02-08,35382.0547,122.342,83.5421,1830.81,44691.74,1129.95,-35.48,10120.0,2208.0,21.89,48.45,6.28,0.1111,105.737,1.0465,21.55,-2.61,4.0754,6.0,-15.28,1.4,65,65
2021-02-07,,,,,38590.04,,,,,,,,,,,21.55,-2.61,4.0754,6.0,-15.28,1.4,65,65
2021-02-06,,,,,40093.11,,,,,,,,,,,21.55,-2.61,4.0754,6.0,-15.28,1.4,65,65
2021-02-05,35369.0,122.625,82.4711,1814.11,37858.84,1131.13,-35.78,4261.0,2075.0,21.99,47.2,6.56,0.1013,105.631,1.0368,21.55,-2.61,4.0754,6.0,-15.28,1.4,65,65
2021-02-04,35259.8867,121.658,81.9778,1794.03,37681.13,1137.83,-35.8,3587.0,1409.0,23.44,47.25,6.55,0.1112,102.406,1.0378,21.55,-2.61,4.0754,6.0,-15.28,1.4,65,65
2021-02-03,35343.168,120.949,81.8088,1834.04,37294.95,1132.98,-37.81,3529.0,2086.0,24.59,46.93,6.66,0.1171,101.833,1.0306,21.55,-2.61,4.0754,6.0,-15.28,1.4,65,65
2021-02-02,35346.3398,119.438,81.2652,1838.03,35687.9,1132.67,-46.72,3870.0,1512.0,28.01,45.91,6.74,0.1132,98.109,1.0256,21.55,-2.61,4.0754,6.0,-15.28,1.4,65,65
2021-02-01,35360.8125,116.979,81.5962,1860.78,33664.82,1133.81,-47.17,4246.0,1329.0,31.45,46.28,6.75,0.1073,96.396,1.0149,21.55,-2.61,4.0754,6.0,-15.28,1.4,65,65
2021-01-31,35430.4141,,,,32601.26,,,,,,,,,,,21.55,-2.61,4.0754,6.0,-15.28,1.4,62,55
2021-01-30,,,,,34694.89,,,,,,,,,,,19.79,-9.5,3.9223,6.0,-15.28,1.4,62,55
2021-01-29,35349.6523,115.718,80.0981,1847.65,34641.09,1129.9,-48.74,6446.0,1569.0,35.16,47.41,6.69,0.1093,95.222,0.998,19.79,-9.5,3.9223,6.0,-15.28,1.4,62,55
2021-01-28,35299.2539,117.291,79.9919,1843.17,33248.02,1127.16,-42.12,4875.0,1948.0,33.25,45.53,6.81,0.1172,92.554,1.0094,19.79,-9.5,3.9223,6.0,-15.28,1.4,62,55
2021-01-27,35299.9258,115.686,80.4518,1843.98,31005.85,1128.79,-45.91,4077.0,2627.0,23.82,44.16,6.58,0.1191,89.5,1.012,19.79,-9.5,3.9223,6.0,-15.28,1.4,62,55
2021-01-26,35376.2031,122.33,80.4799,1850.92,32017.04,1121.56,-47.13,3560.0,1503.0,23.91,43.14,6.59,0.1211,91.162,1.0095,19.79,-9.5,3.9223,6.0,-15.28,1.4,62,55
2021-01-25,35352.9766,122.069,79.9765,1855.93,32701.29,1124.93,-46.21,3627.0,1332.0,22.31,43.08,6.57,0.1149,91.063,1.0125,19.79,-9.5,3.9223,6.0,-15.28,1.4,62,55
2021-01-24,,,,,31932.47,,,,,,,,,,,19.79,-9.5,3.9223,6.0,-15.28,1.4,62,55
2021-01-23,,,,,32366.47,,,,,,,,,,,19.79,-9.5,3.9223,6.0,-15.28,1.4,62,55
2021-01-22,35373.5,122.848,79.1128,1855.61,33322.33,1122.76,-47.66,4466.0,1683.0,22.24,43.09,6.72,0.1209,96.052,1.0206,19.79,-9.5,3.9223,6.0,-15.28,1.4,62,55
2021-01-21,35368.7617,123.507,80.2898,1870.02,31217.0,1118.87,-47.84,4644.0,2381.0,21.34,43.01,6.72,0.1189,97.877,1.0219,19.79,-9.5,3.9223,6.0,-15.28,1.4,62,55
2021-01-20,35325.457,123.351,80.3019,1871.84,34913.07,1121.46,-49.71,3504.0,2277.0,22.82,42.53,6.6,0.127,95.116,1.016,19.79,-9.5,3.9223,6.0,-15.28,1.4,62,55
2021-01-19,35237.1836,121.093,80.0501,1840.28,36489.64,1123.73,-49.8,4463.0,1425.0,23.03,45.23,6.76,0.131,95.559,1.0067,19.79,-9.5,3.9223,6.0,-15.28,1.4,62,55
2021-01-18,35214.3672,120.317,,1841.26,36234.13,1125.87,,,,,,6.96,,,,19.79,-9.5,3.9223,6.0,-15.28,1.4,62,55
2021-01-17,,,,,36533.95,,,,,,,,,,,19.79,-9.5,3.9223,6.0,-15.28,1.4,62,55
2021-01-16,,,,,35935.02,,,,,,,,,,,19.79,-9.5,3.9223,6.0,-15.28,1.4,62,55
2021-01-15,35207.4609,120.393,80.4577,1828.45,36261.52,1126.25,-46.74,3702.0,2298.0,23.52,45.14,6.81,0.133,94.643,1.0001,19.79,-9.5,3.9223,6.0,-15.28,1.4,62,55
2021-01-14,35218.8945,121.131,81.2161,1846.53,38765.5,1119.7,-48.99,4244.0,2656.0,22.22,46.23,6.82,0.139,98.621,1.0146,19.79,-9.5,3.9223,6.0,-15.28,1.4,62,55
2021-01-13,35214.4375,121.401,80.6141,1845.51,37283.48,1122.9,-53.67,4567.0,2790.0,23.07,45.6,6.88,0.143,93.625,1.0129,19.79,-9.5,3.9223,6.0,-15.28,1.4,62,55
2021-01-12,35258.6563,119.131,80.6256,1854.77,34712.73,1120.2,-47.55,4377.0,2539.0,23.49,50.12,6.94,0.1449,98.214,1.0178,19.79,-9.5,3.9223,6.0,-15.28,1.4,62,55
2021-01-11,35187.1406,119.573,79.4886,1843.89,33964.38,1127.05,-52.15,5994.0,2073.0,23.31,47.77,7.09,0.1449,99.717,1.0039,19.79,-9.5,3.9223,6.0,-15.28,1.4,62,55
2021-01-10,35254.6406,,,,38048.82,,,,,,,,,,,19.79,-9.5,3.9223,6.0,-15.28,1.4,62,55
2021-01-09,,,,,40858.59,,,,,,,,,,,19.79,-9.5,3.9223,6.0,-15.28,1.4,62,55
2021-01-08,35269.457,122.375,79.6586,1849.01,40040.7,1121.8,-62.62,5139.0,1392.0,22.43,44.81,6.9,0.1329,97.64,1.0089,19.79,-9.5,3.9223,6.0,-15.28,1.4,62,55
2021-01-07,35188.7617,121.331,80.3132,1913.95,39733.0,1120.65,-61.28,6253.0,1975.0,23.67,45.2,6.94,0.1369,93.667,1.009,19.79,-9.5,3.9223,6.0,-15.28,1.4,62,55
2021-01-06,35277.7227,119.597,80.2747,1918.61,35939.27,1114.09,-58.02,5737.0,1857.0,25.48,44.64,7.0,0.1369,89.469,0.9957,19.79,-9.5,3.9223,6.0,-15.28,1.4,62,55
2021-01-05,35307.2695,118.281,80.3327,1950.01,33792.24,1115.61,-59.42,4714.0,1896.0,26.94,48.95,7.12,0.1211,83.156,0.9995,19.79,-9.5,3.9223,6.0,-15.28,1.4,62,55
2021-01-04,35245.1797,117.213,78.6378,1942.9,31037.38,1121.01,-59.5,5483.0,1624.0,23.04,49.59,7.08,0.1132,79.606,0.9925,19.79,-9.5,3.9223,6.0,-15.28,1.4,62,55
2021-01-03,,,,,33591.73,,,,,,,,,,,19.79,-9.5,3.9223,6.0,-15.28,1.4,62,55
2021-01-02,,,,,31702.36,,,,,,,,,,,19.79,-9.5,3.9223,6.0,-15.28,1.4,62,55
2021-01-01,35217.5273,119.291,,1898.67,29250.59,,,,,,,7.17,,,,19.79,-9.5,3.9223,6.0,-15.28,1.4,62,55
2020-12-31,35228.7422,119.384,78.0543,1898.36,28996.28,1120.3,-61.03,3427.0,882.0,22.99,48.98,7.17,0.1211,79.014,0.9981,19.79,-9.5,3.9223,6.0,-15.28,1.4,30,52
2020-12-30,35378.6367,119.689,77.5922,1894.39,28904.39,1119.15,-57.07,3964.0,1080.0,22.58,47.19,7.29,0.1211,79.615,1.0054,14.77,-9.28,3.8446,5.7,-14.14,1.4,30,52
2020-12-29,35358.9844,120.277,77.1093,1878.18,26895.14,1123.7,-59.22,3729.0,934.0,21.61,46.1,7.11,0.125,80.749,1.0021,14.77,-9.28,3.8446,5.7,-14.14,1.4,30,52
2020-12-28,35320.6133,120.741,76.5046,1873.69,26599.22,1127.7,-59.16,3695.0,882.0,22.11,45.26,7.08,0.1189,79.808,1.0075,14.77,-9.28,3.8446,5.7,-14.14,1.4,30,52
2020-12-27,,,,,26385.71,,,,,,,,,,,14.77,-9.28,3.8446,5.7,-14.14,1.4,30,52
2020-12-26,,,,,26670.1,,,,,,,,,,,14.77,-9.28,3.8446,5.7,-14.14,1.4,30,52
2020-12-25,35329.668,121.812,,,24411.43,,,,,,,,,,,14.77,-9.28,3.8446,5.7,-14.14,1.4,30,52
2020-12-24,35300.9258,121.797,77.0269,1883.46,23405.27,1126.53,-64.09,2693.0,736.0,22.47,42.11,7.01,0.1189,80.01,1.004,14.77,-9.28,3.8446,5.7,-14.14,1.4,30,52
2020-12-23,35306.2305,120.389,77.0301,1872.89,23297.72,1127.36,-62.55,3727.0,1117.0,23.49,42.74,7.32,0.1169,81.796,1.0039,14.77,-9.28,3.8446,5.7,-14.14,1.4,30,52
2020-12-22,35243.3203,119.654,76.5528,1860.84,23437.95,1132.2,-60.22,3913.0,1051.0,25.24,43.57,7.65,0.1129,79.743,1.0044,14.77,-9.28,3.8446,5.7,-14.14,1.4,30,52
2020-12-21,35321.3633,118.273,76.9651,1876.89,23142.45,1125.94,-59.27,3695.0,922.0,24.25,46.66,7.98,0.121,80.962,1.0007,14.77,-9.28,3.8446,5.7,-14.14,1.4,30,52
2020-12-20,35331.8086,,,,23385.77,,,,,,,,,,,14.77,-9.28,3.8446,5.7,-14.14,1.4,30,52
2020-12-19,,,,,23992.92,,,,,,,,,,,14.77,-9.28,3.8446,5.7,-14.14,1.4,30,52
2020-12-18,35313.0859,121.481,77.3211,1881.35,22901.2,1123.38,-57.6,4136.0,1835.0,22.15,44.64,7.62,0.121,82.325,0.9931,14.77,-9.28,3.8446,5.7,-14.14,1.4,30,52
2020-12-17,35242.7852,121.284,76.859,1885.42,22779.13,1120.81,-51.02,5957.0,2445.0,21.98,44.15,7.63,0.121,80.99,0.9968,14.77,-9.28,3.8446,5.7,-14.14,1.4,30,52
2020-12-16,35171.5781,120.245,76.0205,1864.8,21206.36,1125.06,-50.79,5343.0,2969.0,22.51,46.96,7.54,0.115,79.531,1.0002,14.77,-9.28,3.8446,5.7,-14.14,1.4,30,52
2020-12-15,35004.3555,119.506,75.7082,1853.64,19424.24,1126.16,-49.89,2954.0,1839.0,24.0,48.14,7.52,0.113,78.902,0.9936,14.77,-9.28,3.8446,5.7,-14.14,1.4,30,52
2020-12-14,34974.4883,118.266,75.1855,1827.35,19199.17,1131.19,-49.95,2934.0,1571.0,22.67,49.22,7.58,0.115,77.612,0.988,14.77,-9.28,3.8446,5.7,-14.14,1.4,30,52
2020-12-13,,,,,19178.3,,,,,,,,,,,14.77,-9.28,3.8446,5.7,-14.14,1.4,30,52
2020-12-12,,,,,18800.18,,,,,,,,,,,14.77,-9.28,3.8446,5.7,-14.14,1.4,30,52
2020-12-11,34952.9063,119.09,74.8682,1839.85,18101.38,1133.04,-49.21,3045.0,1709.0,22.49,47.52,7.78,0.115,77.178,0.9857,14.77,-9.28,3.8446,5.7,-14.14,1.4,30,52
2020-12-10,34828.6602,119.752,74.8882,1836.57,18349.98,1130.36,-48.98,3019.0,2695.0,22.12,47.15,7.52,0.1369,76.146,0.987,14.77,-9.28,3.8446,5.7,-14.14,1.4,30,52
2020-12-09,34746.9922,119.724,73.9481,1839.55,18520.56,1132.11,-46.85,3460.0,2299.0,20.66,48.48,7.41,0.1488,78.331,0.9844,14.77,-9.28,3.8446,5.7,-14.14,1.4,30,52
2020-12-08,34747.2188,120.567,73.6746,1870.56,18773.5,1131.38,-47.32,3380.0,1352.0,21.65,49.1,7.62,0.1508,76.315,0.9898,14.77,-9.28,3.8446,5.7,-14.14,1.4,30,52
2020-12-07,34757.8398,119.58,73.9416,1862.73,19084.67,1131.22,-47.89,3120.0,1354.0,22.04,49.67,7.66,0.1408,77.803,0.9918,14.77,-9.28,3.8446,5.7,-14.14,1.4,30,52
2020-12-06,,,,,19248.35,,,,,,,,,,,14.77,-9.28,3.8446,5.7,-14.14,1.4,30,52
2020-12-05,,,,,19020.64,,,,,,,,,,,14.77,-9.28,3.8446,5.7,-14.14,1.4,30,52
2020-12-04,34758.3398,121.824,74.2999,1838.86,18825.45,1129.55,-46.54,3155.0,1964.0,21.05,43.89,7.44,0.1507,81.488,0.9904,14.77,-9.28,3.8446,5.7,-14.14,1.4,30,52
2020-12-03,34715.7461,121.515,74.0674,1841.08,19462.14,1130.58,-46.56,3425.0,1482.0,21.24,42.53,7.41,0.1486,75.175,0.986,14.77,-9.28,3.8446,5.7,-14.14,1.4,30,52
2020-12-02,34658.0586,121.643,74.4985,1831.28,19156.67,1135.6,-45.8,3500.0,1295.0,21.0,43.92,7.26,0.1584,77.364,0.9832,14.77,-9.28,3.8446,5.7,-14.14,1.4,30,52
2020-12-01,34627.6641,123.192,74.5522,1815.24,19055.69,1136.68,-44.05,4542.0,1827.0,20.21,41.53,6.99,0.1662,75.591,0.9862,14.77,-9.28,3.8446,5.7,-14.14,1.4,30,52
2020-11-30,34529.8359,123.12,74.3612,1776.95,19378.61,1144.87,-43.7,4535.0,1649.0,22.64,40.84,7.05,0.1485,68.846,0.9834,14.77,-9.28,3.8446,5.7,-14.14,1.4,24,47
2020-11-29,,,,,18270.66,,,,,,,,,,,22.75,-9.4,3.6418,5.7,-14.14,1.4,24,47
2020-11-28,,,,,17763.11,,,,,,,,,,,22.75,-9.4,3.6418,5.7,-14.14,1.4,24,47
2020-11-27,34510.0508,123.302,74.8153,1787.79,17005.85,1141.98,-43.61,2756.0,1135.0,21.52,39.64,6.85,0.1524,68.132,0.989,22.75,-9.4,3.6418,5.7,-14.14,1.4,24,47
2020-11-26,34436.7227,122.915,,1815.8,17055.5,1143.76,,,,,,6.94,,,,22.75,-9.4,3.6418,5.7,-14.14,1.4,24,47
2020-11-25,34426.6289,122.863,74.8049,1807.56,18880.69,1142.66,-44.16,3600.0,1285.0,21.65,39.62,6.87,0.1583,71.937,0.9909,22.75,-9.4,3.6418,5.7,-14.14,1.4,24,47
2020-11-24,34437.3438,121.543,74.7333,1807.59,18944.86,1144.97,-44.81,4573.0,1513.0,22.04,42.38,6.81,0.1602,71.577,0.9906,22.75,-9.4,3.6418,5.7,-14.14,1.4,24,47
2020-11-23,34397.1914,120.499,74.1582,1837.86,18422.02,1149.84,-44.05,3404.0,1127.0,23.66,43.04,6.77,0.1594,68.823,0.9768,22.75,-9.4,3.6418,5.7,-14.14,1.4,24,47
2020-11-22,,,,,18597.77,,,,,,,,,,,22.75,-9.4,3.6418,5.7,-14.14,1.4,24,47
2020-11-21,,,,,18670.93,,,,,,,,,,,22.75,-9.4,3.6418,5.7,-14.14,1.4,24,47
2020-11-20,34450.6914,120.03,74.1352,1870.99,18589.49,1147.3,-43.16,3723.0,1188.0,23.43,42.31,6.91,0.1573,66.295,0.9654,22.75,-9.4,3.6418,5.7,-14.14,1.4,24,47
2020-11-19,34410.9453,119.432,73.5352,1866.54,17946.04,1147.13,-46.84,3315.0,1399.0,23.62,43.53,7.02,0.1612,66.401,0.9698,22.75,-9.4,3.6418,5.7,-14.14,1.4,24,47
2020-11-18,34390.7305,119.159,74.1894,1872.24,17786.57,1148.98,-48.49,4147.0,1839.0,22.86,43.62,6.97,0.1732,69.484,0.9627,22.75,-9.4,3.6418,5.7,-14.14,1.4,24,47
2020-11-17,34305.3438,119.62,73.8867,1880.38,17639.21,1149.22,-50.23,4315.0,1202.0,22.84,43.08,6.94,0.1692,68.585,0.9561,22.75,-9.4,3.6418,5.7,-14.14,1.4,24,47
2020-11-16,34273.5273,119.908,73.7721,1888.95,16704.72,1151.16,-50.23,3306.0,1377.0,23.66,42.49,7.0,0.1771,72.702,0.951,22.75,-9.4,3.6418,5.7,-14.14,1.4,24,47
2020-11-15,,,,,15857.79,,,,,,,,,,,22.75,-9.4,3.6418,5.7,-14.14,1.4,24,47
2020-11-14,,,,,16008.29,,,,,,,,,,,22.75,-9.4,3.6418,5.7,-14.14,1.4,24,47
2020-11-13,34258.0391,118.962,73.7271,1889.2,16294.47,1154.06,-52.27,3059.0,1606.0,24.94,42.95,7.16,0.179,71.324,0.9381,22.75,-9.4,3.6418,5.7,-14.14,1.4,24,47
2020-11-12,34161.8125,117.483,73.7197,1876.83,16159.74,1158.21,-51.89,3125.0,2287.0,24.39,44.17,7.14,0.1768,70.273,0.9361,22.75,-9.4,3.6418,5.7,-14.14,1.4,24,47
2020-11-11,34123.2109,117.303,74.0021,1865.73,15831.57,1156.59,,,,25.01,,,,,0.9432,22.75,-9.4,3.6418,5.7,-14.14,1.4,24,47
2020-11-10,34139.2734,117.303,73.9644,1877.32,15389.01,1153.9,-50.09,2654.0,1597.0,25.36,46.19,7.24,0.1807,77.482,0.9368,22.75,-9.4,3.6418,5.7,-14.14,1.4,24,47
2020-11-09,34135.6992,116.073,72.7483,1863.04,15387.48,1154.18,-49.71,2909.0,1306.0,24.8,44.94,7.53,0.1706,74.891,0.9502,22.75,-9.4,3.6418,5.7,-14.14,1.4,24,47
2020-11-08,,,,,15342.02,,,,,,,,,,,22.75,-9.4,3.6418,5.7,-14.14,1.4,24,47
2020-11-07,,,,,14837.0,,,,,,,,,,,22.75,-9.4,3.6418,5.7,-14.14,1.4,24,47
2020-11-06,34307.3047,117.994,72.8223,1951.35,15553.32,1149.82,-41.18,3353.0,1467.0,27.87,39.88,7.58,0.1527,66.374,0.9429,22.75,-9.4,3.6418,5.7,-14.14,1.4,24,47
2020-11-05,34199.2891,115.157,73.1916,1949.66,15243.85,1153.04,-48.07,3789.0,1765.0,27.56,43.76,7.37,0.1447,61.425,0.9451,22.75,-9.4,3.6418,5.7,-14.14,1.4,24,47
2020-11-04,34065.043,113.667,72.6915,1902.92,14008.75,1164.53,-50.56,3057.0,768.0,36.79,47.74,7.64,0.1447,61.424,0.9254,22.75,-9.4,3.6418,5.7,-14.14,1.4,24,47
2020-11-03,34048.3359,107.283,72.2588,1909.17,13741.48,1166.89,-49.48,2675.0,1247.0,36.44,64.37,8.12,0.1663,72.704,0.9278,22.75,-9.4,3.6418,5.7,-14.14,1.4,24,47
2020-11-02,33983.5195,106.138,72.1251,1895.48,13619.76,1173.19,-47.38,2525.0,872.0,38.57,63.56,8.14,0.1545,68.304,0.9246,22.75,-9.4,3.6418,5.7,-14.14,1.4,24,47
2020-11-01,,,,,13823.15,,,,,,,,,,,22.75,-9.4,3.6418,5.7,-14.14,1.4,24,47
2020-10-31,33991.4063,,,,13850.1,,,,,,,,,,,22.75,-9.4,3.6418,5.7,-14.14,1.4,13,48
2020-10-30,33916.2148,106.242,71.8436,1878.81,13639.46,1172.46,-44.33,2999.0,1461.0,40.81,61.91,8.12,0.1525,71.734,0.9297,23.97,-6.59,3.4964,5.7,-14.14,1.4,13,48
2020-10-29,33925.6602,106.303,71.6138,1867.59,13486.71,1172.04,-42.35,3166.0,1844.0,38.8,61.3,8.38,0.1466,67.051,0.9417,23.97,-6.59,3.4964,5.7,-14.14,1.4,13,48
2020-10-28,33992.8359,106.743,72.1367,1877.19,13213.48,1168.0,-41.15,3611.0,1575.0,34.69,57.13,8.3,0.1466,62.047,0.9241,23.97,-6.59,3.4964,5.7,-14.14,1.4,13,48
2020-10-27,34051.3672,109.274,73.584,1907.99,13620.54,1161.06,-43.61,3712.0,995.0,32.04,57.88,7.87,0.1453,62.022,0.9293,23.97,-6.59,3.4964,5.7,-14.14,1.4,13,48
2020-10-26,34034.375,109.666,73.2292,1902.08,13019.83,1162.35,-45.79,3040.0,934.0,29.38,58.95,7.72,0.1494,64.96,0.9279,23.97,-6.59,3.4964,5.7,-14.14,1.4,13,48
2020-10-25,,,,,13036.88,,,,,,,,,,,23.97,-6.59,3.4964,5.7,-14.14,1.4,13,48
2020-10-24,,,,,13113.04,,,,,,,,,,,23.97,-6.59,3.4964,5.7,-14.14,1.4,13,48
2020-10-23,34076.4609,111.834,73.5659,1902.05,12942.9,1158.37,-45.45,3009.0,1429.0,28.47,58.46,7.74,0.1554,68.547,0.9391,23.97,-6.59,3.4964,5.7,-14.14,1.4,13,48
2020-10-22,33986.0195,111.373,73.8375,1904.11,13124.02,1161.19,-52.09,3682.0,1425.0,30.1,59.73,7.86,0.1533,70.091,0.9395,23.97,-6.59,3.4964,5.7,-14.14,1.4,13,48
2020-10-21,34032.0156,111.365,74.1266,1924.33,12855.5,1158.9,-47.87,5316.0,1649.0,29.12,59.07,7.87,0.1472,67.133,0.9452,23.97,-6.59,3.4964,5.7,-14.14,1.4,13,48
2020-10-20,33922.9414,110.68,73.9302,1906.95,11904.78,1164.46,-49.05,2787.0,1231.0,28.81,60.42,7.67,0.1431,64.055,0.9474,23.97,-6.59,3.4964,5.7,-14.14,1.4,13,48
2020-10-19,33865.4609,110.83,73.5685,1904.08,11735.13,1167.78,-49.58,2684.0,1082.0,27.36,61.16,7.44,0.1451,61.982,0.9434,23.97,-6.59,3.4964,5.7,-14.14,1.4,13,48
2020-10-18,,,,,11445.83,,,,,,,,,,,23.97,-6.59,3.4964,5.7,-14.14,1.4,13,48
2020-10-17,,,,,11354.91,,,,,,,,,,,23.97,-6.59,3.4964,5.7,-14.14,1.4,13,48
2020-10-16,33832.9258,112.025,73.384,1899.29,11319.41,1169.2,-44.46,2620.0,1405.0,27.16,57.25,7.53,0.1431,60.053,0.9452,23.97,-6.59,3.4964,5.7,-14.14,1.4,13,48
2020-10-15,33818.4492,112.374,73.4361,1908.71,11545.26,1171.23,-43.01,2528.0,1782.0,27.1,55.62,7.72,0.139,59.124,0.9545,23.97,-6.59,3.4964,5.7,-14.14,1.4,13,48
2020-10-14,33861.3672,113.464,72.9956,1901.52,11393.36,1166.37,-47.25,2767.0,2132.0,25.72,53.5,7.57,0.139,58.26,0.9508,23.97,-6.59,3.4964,5.7,-14.14,1.4,13,48
2020-10-13,33765.375,113.021,72.5698,1891.36,11434.88,1168.67,-48.69,2991.0,1935.0,25.67,55.59,7.62,0.139,58.625,0.9505,23.97,-6.59,3.4964,5.7,-14.14,1.4,13,48
2020-10-12,33819.7188,113.067,72.7782,1922.77,11568.4,1163.26,,,,25.65,,7.7,,,0.9523,23.97,-6.59,3.4964,5.7,-14.14,1.4,13,48
2020-10-11,,,,,11332.36,,,,,,,,,,,23.97,-6.59,3.4964,5.7,-14.14,1.4,13,48
2020-10-10,33810.5391,,,,11367.8,,,,,,,,,,,23.97,-6.59,3.4964,5.7,-14.14,1.4,13,48
2020-10-09,33833.0859,112.608,73.2507,1930.4,11041.96,1162.71,-46.71,2770.0,1661.0,26.2,57.52,7.75,0.1529,61.847,0.9436,23.97,-6.59,3.4964,5.7,-14.14,1.4,13,48
2020-10-08,33768.3594,111.978,72.1571,1893.82,10898.05,1170.41,-44.82,3489.0,1502.0,27.65,57.31,8.06,0.1508,63.244,0.941,23.97,-6.59,3.4964,5.7,-14.14,1.4,13,48
2020-10-07,33774.1133,110.994,71.8011,1887.42,10661.08,1172.38,-45.56,2753.0,1450.0,29.26,56.98,8.16,0.1507,63.014,0.9399,23.97,-6.59,3.4964,5.7,-14.14,1.4,13,48
2020-10-06,33757.7188,109.349,71.3957,1878.18,10549.5,1173.7,-45.77,3060.0,1725.0,28.05,57.75,8.11,0.1467,58.461,0.9348,23.97,-6.59,3.4964,5.7,-14.14,1.4,13,48
2020-10-05,33783.1602,114.881,71.0452,1913.53,10741.28,1169.14,-45.3,2542.0,1582.0,29.52,39.81,8.18,0.1447,63.107,0.9422,23.97,-6.59,3.4964,5.7,-14.14,1.4,13,48
2020-10-04,,,,,10650.02,,,,,,,,,,,23.97,-6.59,3.4964,5.7,-14.14,1.4,13,48
2020-10-03,,,,,10572.62,,,,,,,,,,,23.97,-6.59,3.4964,5.7,-14.14,1.4,13,48
2020-10-02,33766.7422,114.025,69.8026,1899.84,10547.65,1174.38,-44.81,2647.0,1350.0,28.87,39.97,8.31,0.1289,56.57,0.9385,23.97,-6.59,3.4964,5.7,-14.14,1.4,13,48
